LAT,LNG,CLS
44.5966189515,20.7396999348,0
44.7524952821,20.4277714399,1
44.3796195222,20.2655104936,2
44.8050700011,20.2769294532,3
44.8184036576,20.5211578249,4
44.4397476493,20.6872597893,5
44.6563687454,20.1956695194,6
44.8261978202,20.4068840151,7
44.6721370855,20.6214043361,8
44.594847399,20.4028691666,9
44.9917917469,20.412161567,10
44.6667823209,20.2957592628,11
44.5055146088,20.3000334607,12
44.8041690404,20.4703768156,13
44.746621998,20.5625691363,14
44.8967361031,20.2925439354,15
44.8794887617,20.4647180677,16
44.5030745676,20.5567695242,17
44.43902535,20.422614175,18
44.8469211842,20.211469801,19
44.672002926,20.5360295328,20
44.6520788854,20.7190569206,21
44.607623994,20.0960481048,22
44.7733468599,20.4993784671,23
44.7182764517,20.3648607397,24
44.5910399096,20.6287818211,25
44.8066848387,20.4311891872,26
44.4250106389,20.7574849444,27
44.3802215217,20.3740747391,28
44.8294428519,20.3717102439,29
